nation              o_year              sum_profit          
IRAN                1998                26661608.930100     
IRAN                1997                45019114.169600     
IRAN                1996                45891397.099200     
IRAN                1995                44414285.234800     
IRAN                1994                43696360.479500     
IRAN                1993                45362775.809400     
IRAN                1992                43052338.414300     
IRAQ                1998                31188498.191400     
IRAQ                1997                48585307.522200     
IRAQ                1996                50036593.840400     
IRAQ                1995                48774801.727500     
IRAQ                1994                48795847.231000     
IRAQ                1993                47435691.508200     
IRAQ                1992                47562355.657100     
JAPAN               1998                24694102.172000     
JAPAN               1997                42377052.345400     
JAPAN               1996                40267778.909400     
JAPAN               1995                40925317.465000     
JAPAN               1994                41159518.305800     
JAPAN               1993                39589074.277100     
JAPAN               1992                39113493.905200     
JORDAN              1998                23489867.789300     
JORDAN              1997                41615962.661900     
JORDAN              1996                41860855.468400     
JORDAN              1995                39931672.090800     
JORDAN              1994                40707555.463800     
JORDAN              1993                39060405.465800     
JORDAN              1992                41657604.268400     
KENYA               1998                25566337.430300     
KENYA               1997                43108847.902400     
KENYA               1996                43482953.543000     
KENYA               1995                42517988.981400     
KENYA               1994                43612479.452300     
KENYA               1993                42724038.757100     
KENYA               1992                43217106.206800     
MOROCCO             1998                24915496.875600     
MOROCCO             1997                42698382.855000     
MOROCCO             1996                42986113.504900     
MOROCCO             1995                42316089.159300     
MOROCCO             1994                43458604.602900     
MOROCCO             1993                42672288.069900     
MOROCCO             1992                42800781.641500     
MOZAMBIQUE          1998                28279876.030100     
MOZAMBIQUE          1997                51159216.229800     
MOZAMBIQUE          1996                48072525.064500     
MOZAMBIQUE          1995                48905200.600700     
MOZAMBIQUE          1994                46092076.280500     
MOZAMBIQUE          1993                48555926.266900     
MOZAMBIQUE          1992                47809075.119200     
PERU                1998                26713966.267800     
PERU                1997                48324008.601100     
PERU                1996                50310008.862900     
PERU                1995                49647080.962900     
PERU                1994                46420910.277300     
PERU                1993                51536906.248700     
PERU                1992                47711665.313700     
ROMANIA             1998                27271993.101000     
ROMANIA             1997                45063059.195300     
ROMANIA             1996                47492335.032300     
ROMANIA             1995                45710636.290900     
ROMANIA             1994                46088041.106600     
ROMANIA             1993                47515092.561300     
ROMANIA             1992                44111439.804400     
RUSSIA              1998                27935323.727100     
RUSSIA              1997                48222347.292400     
RUSSIA              1996                47553559.493200     
RUSSIA              1995                46755990.097600     
RUSSIA              1994                48000515.619100     
RUSSIA              1993                48569624.508200     
RUSSIA              1992                47672831.532900     
SAUDI ARABIA        1998                27113516.842400     
SAUDI ARABIA        1997                46690468.964900     
SAUDI ARABIA        1996                47775782.667000     
SAUDI ARABIA        1995                46657107.828700     
SAUDI ARABIA        1994                48181672.810000     
SAUDI ARABIA        1993                45692556.443800     
SAUDI ARABIA        1992                48924913.271700     
UNITED KINGDOM      1998                26366682.878600     
UNITED KINGDOM      1997                44518130.185100     
UNITED KINGDOM      1996                45539729.616600     
UNITED KINGDOM      1995                46845879.339000     
UNITED KINGDOM      1994                43081609.573700     
UNITED KINGDOM      1993                44770146.755500     
UNITED KINGDOM      1992                44123402.548400     
UNITED STATES       1998                27826593.682500     
UNITED STATES       1997                46638572.364800     
UNITED STATES       1996                46688280.547400     
UNITED STATES       1995                48951591.615600     
UNITED STATES       1994                45099092.059800     
UNITED STATES       1993                46181600.527800     
UNITED STATES       1992                46168214.090100     
VIETNAM             1998                27281931.001100     
VIETNAM             1997                48735914.179600     
VIETNAM             1996                47824595.904000     
VIETNAM             1995                48235135.801600     
VIETNAM             1994                47729256.332400     
VIETNAM             1993                45352676.867200     
VIETNAM             1992                47846355.648500     
