l_orderkey          revenue             o_orderdate         o_shippriority      
429506              289544.817200       1995-02-02          0                   
5206948             288720.402200       1995-03-14          0                   
5423746             288680.650300       1995-03-09          0                   
4577507             288512.612700       1995-03-03          0                   
4929858             287901.293800       1995-03-02          0                   
1223490             287800.822800       1995-03-13          0                   
1566307             287773.977700       1995-03-07          0                   
5105793             287589.682100       1995-03-05          0                   
5775234             287435.177300       1995-03-07          0                   
3731557             286645.728900       1995-02-28          0                   
3329894             286565.980800       1995-03-13          0                   
1405573             286527.059400       1995-02-09          0                   
2505123             286450.590100       1995-01-20          0                   
3146982             286368.230100       1995-03-02          0                   
1422343             286227.671500       1995-02-03          0                   
5782213             286179.330700       1995-02-24          0                   
1173478             286107.225600       1995-02-21          0                   
2074628             285940.131200       1995-03-07          0                   
4273255             285933.769100       1995-03-09          0                   
3555392             285860.807500       1995-03-08          0                   
992583              285724.214200       1995-02-09          0                   
1899748             284810.295000       1995-02-26          0                   
4898983             284622.836800       1995-01-30          0                   
3862048             284487.413200       1995-02-28          0                   
738627              284276.532600       1995-03-14          0                   
4860007             284253.266800       1995-03-13          0                   
250530              283997.589600       1995-03-10          0                   
2546112             283920.398000       1995-03-14          0                   
3298275             283432.226900       1995-01-19          0                   
1510918             282989.737200       1995-03-10          0                   
3732263             282703.962100       1995-03-03          0                   
1966019             282490.808200       1995-02-27          0                   
1919970             282367.043500       1995-03-01          0                   
4640611             282335.551800       1995-03-14          0                   
287552              282272.816900       1995-02-28          0                   
4515846             282216.930300       1995-02-18          0                   
2758273             282180.807500       1995-02-26          0                   
265796              282148.435100       1995-02-24          0                   
4110148             281808.777400       1995-03-02          0                   
2599461             281471.048800       1995-01-31          0                   
1295138             281469.377500       1995-03-07          0                   
3283687             281049.951400       1995-02-19          0                   
1668388             280820.828000       1995-01-09          0                   
4957286             280813.109600       1995-03-10          0                   
2254055             280648.961800       1995-02-01          0                   
2873955             280471.467400       1995-02-18          0                   
4816839             280439.528900       1995-01-29          0                   
4044166             280261.647900       1995-02-08          0                   
1500640             280220.866400       1995-03-13          0                   
5587686             279768.618000       1995-03-07          0                   
2666118             279757.532300       1995-03-12          0                   
3736864             279724.985600       1995-02-21          0                   
3421764             279555.547800       1995-01-14          0                   
1187457             279287.386200       1995-03-11          0                   
5910081             279185.246200       1995-02-26          0                   
5644551             279105.096400       1995-02-25          0                   
2542215             278628.262800       1995-02-26          0                   
50145               278324.872800       1995-02-27          0                   
1268930             278276.749100       1995-03-08          0                   
761059              278207.960200       1995-03-14          0                   
5481442             278128.039800       1995-03-12          0                   
5658148             277926.943000       1995-02-27          0                   
2023911             277690.991200       1995-03-11          0                   
539623              277297.998200       1995-02-20          0                   
2548260             277164.052700       1995-02-15          0                   
3766402             277106.744200       1995-03-10          0                   
5386596             276910.050600       1995-03-06          0                   
5252897             276826.973100       1995-02-24          0                   
2644067             276640.676000       1995-03-04          0                   
4042950             276388.543400       1995-03-03          0                   
1244295             276055.870700       1995-02-03          0                   
3205667             275621.044400       1995-02-22          0                   
1927808             275552.659800       1995-02-24          0                   
94432               275486.588000       1995-01-19          0                   
3549474             275414.073800       1994-12-24          0                   
1218788             275387.925000       1995-03-08          0                   
2051136             275116.010700       1995-03-08          0                   
1871008             275079.237400       1995-01-22          0                   
1157382             274637.906200       1995-03-02          0                   
3587623             274225.127400       1995-02-20          0                   
1609059             274212.434800       1995-02-21          0                   
553731              274195.767400       1995-02-15          0                   
2709571             273687.383200       1994-12-10          0                   
1786272             273640.192100       1995-02-08          0                   
4142853             273617.721500       1995-02-16          0                   
3612322             273575.269300       1994-12-27          0                   
4421860             273565.758000       1995-02-27          0                   
2974694             273386.346400       1995-03-14          0                   
47525               273370.895300       1995-03-04          0                   
2677248             273330.876700       1995-03-13          0                   
1074752             273277.645800       1995-02-02          0                   
1162147             272872.296800       1995-03-03          0                   
4258912             272603.019600       1995-02-23          0                   
4841733             272455.852400       1995-01-29          0                   
5807460             272259.212000       1994-12-22          0                   
213314              272195.984800       1995-02-05          0                   
4200932             272125.302400       1995-03-03          0                   
3343776             272105.958600       1995-03-14          0                   
597699              271975.529400       1995-02-01          0                   
1334496             271914.225200       1995-02-24          0                   
5419715             271744.199600       1995-03-07          0                   
5738343             270598.787600       1995-01-19          0                   
5881890             270532.737800       1995-02-15          0                   
97830               270217.076200       1995-03-04          0                   
431106              270154.694600       1995-02-23          0                   
2643618             270131.848700       1995-03-10          0                   
108421              270064.075800       1995-01-30          0                   
3702215             269719.219600       1995-01-25          0                   
5780518             269500.862000       1995-01-03          0                   
1073859             269484.176100       1995-03-09          0                   
4711269             269326.777600       1995-03-11          0                   
46115               269115.895100       1995-03-03          0                   
1883879             268978.074100       1994-12-30          0                   
5122532             268923.625600       1995-02-24          0                   
2135110             268888.034500       1995-03-07          0                   
3127076             268869.885700       1995-03-13          0                   
755745              268863.732800       1995-02-22          0                   
1637                268170.640800       1995-02-08          0                   
5290240             267961.846600       1995-02-22          0                   
3411973             267770.313200       1995-03-13          0                   
1408578             267751.608400       1995-02-07          0                   
2404449             267687.734100       1995-03-10          0                   
988226              267681.016600       1995-02-01          0                   
2958049             267579.731800       1995-02-20          0                   
3054020             267530.581200       1995-01-13          0                   
2142787             267473.680800       1995-02-26          0                   
662340              267322.894800       1995-02-26          0                   
1174050             267275.462000       1995-01-31          0                   
800033              267217.347900       1995-01-31          0                   
4575140             266925.631400       1994-12-26          0                   
98279               266789.346100       1995-03-09          0                   
4208644             266743.411200       1995-02-05          0                   
2136006             266576.947300       1995-02-14          0                   
2507781             266403.394200       1995-02-11          0                   
2393793             266188.264400       1995-03-09          0                   
2806278             266051.023700       1995-02-26          0                   
1635653             265897.433200       1995-02-14          0                   
5084260             265895.491600       1995-01-29          0                   
5717728             265746.553300       1995-03-08          0                   
5556450             265432.298600       1995-02-27          0                   
2284672             265320.692800       1995-03-14          0                   
3640386             265189.424300       1995-02-05          0                   
1162563             265107.138800       1995-02-15          0                   
165732              264712.234800       1995-03-11          0                   
4651745             264661.729200       1995-03-08          0                   
5682950             264633.121300       1995-03-05          0                   
4858147             264620.836800       1995-03-13          0                   
4766118             264360.961200       1995-02-10          0                   
220834              264297.681100       1995-02-27          0                   
5785893             263708.487100       1995-03-13          0                   
1929699             263499.603300       1995-03-09          0                   
2017793             263232.202000       1995-02-01          0                   
2376358             263219.375400       1995-02-18          0                   
1402247             263153.998200       1995-03-03          0                   
118151              263036.998400       1995-02-23          0                   
5935588             263023.765200       1995-01-30          0                   
3282660             262892.008600       1995-02-28          0                   
4956800             262865.716200       1995-02-10          0                   
3940163             262849.504800       1995-02-26          0                   
3978503             262757.744800       1995-02-09          0                   
5882310             262686.381200       1995-03-14          0                   
1474848             262524.574800       1995-03-12          0                   
2440324             262358.682600       1995-03-02          0                   
4231170             262172.838700       1995-02-22          0                   
3889248             262056.923800       1995-02-28          0                   
80549               261961.476200       1995-01-23          0                   
874947              261861.635200       1995-02-11          0                   
800578              261674.424600       1995-02-27          0                   
5783809             261649.098700       1995-02-01          0                   
3823045             261624.057300       1995-03-05          0                   
283364              261547.520700       1995-02-23          0                   
1612929             261463.857500       1995-01-22          0                   
299014              261195.437600       1995-03-04          0                   
93671               261152.210200       1995-03-03          0                   
3379364             261138.294500       1995-01-20          0                   
5216199             261062.757600       1995-02-24          0                   
2978438             261060.505900       1995-03-10          0                   
1865089             261042.289800       1995-02-27          0                   
3528001             261027.079800       1995-02-24          0                   
1197607             261019.000900       1995-03-04          0                   
2917795             260768.510900       1995-02-28          0                   
775847              260746.047800       1995-01-25          0                   
4420802             260648.933300       1995-02-05          0                   
1878628             260272.321300       1995-03-05          0                   
1741028             260194.630000       1995-03-14          0                   
2097025             260092.754300       1995-02-28          0                   
3425510             259928.191300       1995-03-10          0                   
3676707             259872.964100       1995-02-05          0                   
4541217             259375.014800       1995-02-16          0                   
4684353             258994.587500       1995-02-27          0                   
166757              258693.818000       1995-02-28          0                   
4925223             258321.359000       1995-02-22          0                   
1752642             258287.167200       1995-02-20          0                   
1214981             258229.914300       1994-12-31          0                   
859237              258145.345100       1995-02-13          0                   
2688102             258102.185200       1995-02-08          0                   
5316610             258069.207900       1995-03-12          0                   
4176454             257955.391200       1995-03-13          0                   
5667684             257952.626800       1995-01-31          0                   
5156999             257694.758600       1995-03-01          0                   
1777986             257648.891600       1995-02-23          0                   
5314147             257558.262200       1995-02-25          0                   
4703399             257339.946700       1995-02-15          0                   
187427              257236.523000       1995-03-05          0                   
5659045             257129.344600       1995-03-11          0                   
1919462             256982.291100       1995-02-19          0                   
1314567             256858.279500       1995-02-09          0                   
587808              256816.725200       1995-02-10          0                   
647234              256606.305700       1995-02-05          0                   
1070694             256582.028500       1995-03-09          0                   
1728355             256540.236500       1995-01-20          0                   
922179              256535.841300       1995-03-08          0                   
3202176             256159.254000       1995-03-13          0                   
2918466             256154.939900       1995-01-31          0                   
442627              255896.462900       1995-03-06          0                   
3292263             255713.752900       1995-02-25          0                   
2578467             255507.935400       1995-03-13          0                   
4905699             255469.332600       1995-02-26          0                   
2258208             255412.049400       1995-01-28          0                   
295360              255278.253000       1995-02-25          0                   
4115200             255254.826300       1995-02-28          0                   
5654468             255052.866300       1995-03-08          0                   
1601410             254977.287700       1995-02-26          0                   
1189703             254727.381400       1995-03-09          0                   
2184677             254452.370000       1995-03-06          0                   
5594181             254402.275600       1995-02-16          0                   
2083271             254264.965000       1995-02-26          0                   
4990337             254093.723400       1995-01-23          0                   
1111526             254057.404800       1995-01-31          0                   
5941124             254030.130400       1995-03-12          0                   
3024609             253963.531200       1995-03-10          0                   
3775684             253944.265200       1995-02-11          0                   
4369505             253869.705400       1995-02-14          0                   
1444418             253758.962500       1995-02-10          0                   
5874595             253719.312600       1995-03-07          0                   
1039200             253668.089100       1995-03-08          0                   
3708739             253398.166400       1995-02-24          0                   
94113               253351.894800       1995-03-11          0                   
155078              253319.602400       1995-02-07          0                   
3585766             253220.286500       1995-01-25          0                   
3422240             252805.000900       1995-02-28          0                   
1288418             252647.818100       1995-02-11          0                   
3561092             252592.024100       1995-01-05          0                   
2010021             252521.380800       1995-02-17          0                   
4707363             252477.372000       1995-01-19          0                   
5683846             252358.342000       1995-02-14          0                   
1665924             252330.206100       1995-03-09          0                   
325444              252320.290800       1995-02-24          0                   
2357312             252192.124100       1995-03-09          0                   
9696                252014.549700       1995-02-20          0                   
987175              251821.031100       1995-02-14          0                   
842820              251673.591000       1995-01-21          0                   
5812608             251652.710500       1995-02-20          0                   
1077281             251600.024500       1995-02-20          0                   
4444610             251581.133000       1995-02-01          0                   
3471298             251346.029900       1995-02-10          0                   
2775716             251322.654400       1995-01-30          0                   
3917859             250959.049800       1995-03-07          0                   
1294563             250957.384600       1995-02-06          0                   
1447879             250755.715300       1995-01-30          0                   
2613473             250748.957400       1995-02-17          0                   
5101958             250476.369700       1995-02-20          0                   
5302979             250393.694400       1995-01-23          0                   
2604101             250314.509600       1995-02-06          0                   
1602758             250300.500100       1995-02-10          0                   
3370759             250269.079000       1995-02-26          0                   
3187106             250238.886400       1995-03-11          0                   
1546020             250168.868400       1995-02-20          0                   
5781634             250016.303600       1995-01-14          0                   
4127300             249970.040200       1995-01-31          0                   
4893383             249637.902700       1995-02-06          0                   
2026912             249465.490000       1995-01-03          0                   
3956899             249461.532200       1995-02-18          0                   
2409381             249271.684700       1995-01-18          0                   
5812005             249232.271000       1995-01-22          0                   
1386055             249231.781900       1995-02-23          0                   
3214051             249135.099500       1995-02-22          0                   
4392739             249078.333100       1995-02-17          0                   
2524006             249028.628600       1995-02-20          0                   
2049219             248553.964000       1995-02-08          0                   
3690496             248516.721400       1995-01-28          0                   
680549              248415.630300       1994-12-25          0                   
4420645             248397.281600       1995-02-25          0                   
645606              248389.156800       1995-02-18          0                   
4663104             248227.230800       1995-01-07          0                   
4860327             247840.064600       1995-02-22          0                   
1169669             247806.162700       1995-01-29          0                   
5130945             247794.426200       1995-01-21          0                   
3944455             247602.304600       1995-02-10          0                   
4487652             247516.707600       1995-02-22          0                   
1202374             247200.290100       1995-01-29          0                   
3222433             247008.649700       1995-03-10          0                   
5225061             246964.235400       1995-01-31          0                   
1676260             246886.905300       1995-02-27          0                   
3124167             246835.114900       1995-03-06          0                   
4203942             246477.800400       1995-02-03          0                   
1216293             246214.009000       1995-02-04          0                   
5116004             245978.792400       1995-01-07          0                   
3900420             245811.382000       1995-03-02          0                   
2168225             245769.053100       1995-02-02          0                   
3699175             245376.595300       1995-02-23          0                   
3587046             245067.260300       1995-01-14          0                   
2327364             244910.381700       1994-12-27          0                   
4838690             244736.663000       1995-03-14          0                   
2143879             244725.199700       1995-03-07          0                   
625062              244554.115700       1995-03-03          0                   
2675876             244553.705900       1995-02-19          0                   
3934694             244460.872100       1995-01-31          0                   
4290055             244400.770800       1995-02-13          0                   
3695556             244323.455200       1995-02-06          0                   
4748868             244199.179100       1995-02-05          0                   
2453156             244164.601800       1995-03-13          0                   
5323205             244120.939800       1995-02-01          0                   
4487427             244034.346500       1995-03-04          0                   
4762789             243901.823300       1995-03-10          0                   
5541572             243850.249000       1995-01-31          0                   
5730566             243816.048400       1995-03-03          0                   
2927041             243720.281900       1995-01-31          0                   
4890279             243482.977300       1995-02-27          0                   
1057863             243386.321700       1995-02-08          0                   
617315              243355.227500       1995-03-14          0                   
2457701             243282.075600       1995-03-13          0                   
4226051             243191.049600       1995-02-18          0                   
5157221             242891.613600       1995-03-02          0                   
2594437             242853.206500       1995-03-08          0                   
4123009             242758.685600       1995-02-01          0                   
3383749             242638.962200       1995-01-06          0                   
1593251             242409.624800       1995-02-14          0                   
1139429             242392.157200       1995-01-27          0                   
1324739             242353.179800       1995-02-16          0                   
1555463             242334.568000       1995-03-08          0                   
374308              242214.571200       1995-03-12          0                   
2300645             242181.102700       1995-03-07          0                   
1824388             242091.606900       1995-02-08          0                   
3413251             241989.735000       1995-02-09          0                   
5547458             241630.558000       1995-02-06          0                   
2129029             241597.782600       1995-02-11          0                   
1710564             241581.544300       1995-02-16          0                   
3705571             241526.375800       1995-03-12          0                   
2124163             241438.057000       1995-02-19          0                   
3825446             241273.282700       1995-03-10          0                   
3008577             241090.737300       1995-02-24          0                   
439618              241087.556300       1995-03-08          0                   
1087077             241062.838200       1995-02-18          0                   
846496              240953.786100       1995-03-12          0                   
3679814             240897.568800       1995-01-12          0                   
1039812             240758.913300       1995-02-13          0                   
4383171             240754.225000       1995-02-20          0                   
1168832             240688.255100       1995-03-05          0                   
1229569             240653.592200       1995-01-09          0                   
5663877             240588.502000       1995-02-04          0                   
5938114             240582.094000       1995-03-11          0                   
4090215             240440.478700       1995-03-12          0                   
3309538             240189.621300       1995-02-01          0                   
4701924             240189.067900       1995-02-23          0                   
5905286             240149.218200       1995-02-23          0                   
3800226             240123.004800       1995-01-18          0                   
2375360             240027.057800       1995-01-31          0                   
3746976             239980.857000       1995-01-28          0                   
5437027             239700.271400       1995-03-11          0                   
351329              239374.331100       1995-02-25          0                   
4126693             239283.690400       1995-02-24          0                   
2482208             239250.911000       1995-03-13          0                   
579460              239225.135900       1995-02-12          0                   
4834533             239125.638400       1994-12-09          0                   
2895204             239095.626900       1995-02-25          0                   
5787364             238831.317600       1995-02-22          0                   
426723              238777.556500       1995-01-08          0                   
2444198             238719.431200       1995-03-08          0                   
361954              238668.628700       1995-02-27          0                   
210565              238607.316000       1995-02-13          0                   
3113735             238574.417000       1995-02-23          0                   
1722050             238529.061300       1995-02-03          0                   
5969444             238525.543700       1995-02-07          0                   
4717441             238499.921800       1995-01-22          0                   
5173315             238492.187800       1995-01-21          0                   
148161              238199.034400       1995-02-01          0                   
5144069             238168.233600       1994-12-18          0                   
5464162             238042.788600       1995-03-05          0                   
4795266             237827.359600       1995-01-31          0                   
2803264             237803.180100       1995-02-25          0                   
1160579             237761.197100       1995-02-22          0                   
675808              237689.214300       1995-02-28          0                   
769765              237476.443300       1995-02-03          0                   
2368768             237357.240800       1995-02-01          0                   
3866083             237121.308500       1995-02-12          0                   
3773574             237095.598600       1995-01-30          0                   
4100160             237074.391600       1995-01-30          0                   
5372871             236975.018700       1995-02-11          0                   
3281060             236959.637700       1995-02-28          0                   
5106147             236948.084300       1995-03-10          0                   
4186372             236900.494100       1995-03-13          0                   
4371845             236778.593700       1995-03-06          0                   
