nation              o_year              sum_profit          
INDONESIA           1993                198159609.136900    
INDONESIA           1992                195089161.053900    
IRAN                1998                103582572.353800    
IRAN                1997                174045181.052000    
IRAN                1996                177876213.613800    
IRAN                1995                176511930.038600    
IRAN                1994                176661410.361200    
IRAN                1993                180175924.331000    
IRAN                1992                176476333.676700    
IRAQ                1998                113904083.256700    
IRAQ                1997                186096025.834300    
IRAQ                1996                191200944.649300    
IRAQ                1995                187843555.957100    
IRAQ                1994                189255482.548000    
IRAQ                1993                186629225.008700    
IRAQ                1992                191028036.280400    
JAPAN               1998                108895696.597500    
JAPAN               1997                186933282.862300    
JAPAN               1996                188961849.114600    
JAPAN               1995                182734046.131600    
JAPAN               1994                183978297.712900    
JAPAN               1993                188014457.716600    
JAPAN               1992                185247232.600300    
JORDAN              1998                108364513.303700    
JORDAN              1997                182835896.893600    
JORDAN              1996                184488949.646000    
JORDAN              1995                182988928.844600    
JORDAN              1994                184783256.028900    
JORDAN              1993                179852166.452900    
JORDAN              1992                181981879.370800    
KENYA               1998                104874431.671600    
KENYA               1997                180378590.357600    
KENYA               1996                181332217.938200    
KENYA               1995                185458518.764600    
KENYA               1994                181832173.107600    
KENYA               1993                185792458.319300    
KENYA               1992                179244507.304100    
MOROCCO             1998                110828713.911300    
MOROCCO             1997                182678283.848800    
MOROCCO             1996                198460671.065300    
MOROCCO             1995                187510474.186800    
MOROCCO             1994                191677580.067300    
MOROCCO             1993                188109769.561100    
MOROCCO             1992                188507003.852300    
MOZAMBIQUE          1998                108113085.059200    
MOZAMBIQUE          1997                186703706.803800    
MOZAMBIQUE          1996                185969709.991500    
MOZAMBIQUE          1995                184242031.457700    
MOZAMBIQUE          1994                185106119.455700    
MOZAMBIQUE          1993                192226574.397200    
MOZAMBIQUE          1992                182756482.971800    
PERU                1998                107603631.041000    
PERU                1997                183939740.419700    
PERU                1996                178916429.505000    
PERU                1995                184285574.125900    
PERU                1994                187014521.977100    
PERU                1993                179288259.850500    
PERU                1992                185932227.938500    
ROMANIA             1998                106226386.872100    
ROMANIA             1997                184738486.720500    
ROMANIA             1996                187515043.625100    
ROMANIA             1995                186198478.127100    
ROMANIA             1994                189133539.108700    
ROMANIA             1993                177233927.746900    
ROMANIA             1992                180049618.976200    
RUSSIA              1998                109427180.787900    
RUSSIA              1997                188236836.944200    
RUSSIA              1996                187350454.771800    
RUSSIA              1995                185208470.921900    
RUSSIA              1994                189916342.184200    
RUSSIA              1993                190062327.779100    
RUSSIA              1992                186124273.409200    
SAUDI ARABIA        1998                112529177.025100    
SAUDI ARABIA        1997                187906142.638300    
SAUDI ARABIA        1996                189856286.810700    
SAUDI ARABIA        1995                186194868.691600    
SAUDI ARABIA        1994                188852562.735800    
SAUDI ARABIA        1993                188761887.700200    
SAUDI ARABIA        1992                188990873.275000    
UNITED KINGDOM      1998                112514257.563200    
UNITED KINGDOM      1997                189567121.090600    
UNITED KINGDOM      1996                189368497.887800    
UNITED KINGDOM      1995                187076182.522400    
UNITED KINGDOM      1994                187397723.915900    
UNITED KINGDOM      1993                187097535.862400    
UNITED KINGDOM      1992                189479338.212900    
UNITED STATES       1998                109903536.032900    
UNITED STATES       1997                194789368.449500    
UNITED STATES       1996                188940875.078400    
UNITED STATES       1995                190939200.264600    
UNITED STATES       1994                193759843.380500    
UNITED STATES       1993                192398343.857100    
UNITED STATES       1992                190920197.009500    
VIETNAM             1998                106278626.095100    
VIETNAM             1997                177663496.507400    
VIETNAM             1996                178709548.820000    
VIETNAM             1995                185042362.419600    
VIETNAM             1994                179948983.463800    
VIETNAM             1993                175828545.953100    
VIETNAM             1992                179655716.747400    
