nation              o_year              sum_profit          
IRAN                1996                94298701.967400     
IRAN                1995                93341858.693400     
IRAN                1994                90334440.542900     
IRAN                1993                93102778.066300     
IRAN                1992                92357614.990600     
IRAQ                1998                57217014.281400     
IRAQ                1997                94017506.528300     
IRAQ                1996                94249150.706500     
IRAQ                1995                94145857.264300     
IRAQ                1994                98241925.848400     
IRAQ                1993                98715128.368400     
IRAQ                1992                98769237.670300     
JAPAN               1998                54606625.501100     
JAPAN               1997                91829315.238500     
JAPAN               1996                91762274.773700     
JAPAN               1995                90330635.332600     
JAPAN               1994                87944525.910800     
JAPAN               1993                91473639.496800     
JAPAN               1992                90636758.802400     
JORDAN              1998                55306365.227500     
JORDAN              1997                93833554.035900     
JORDAN              1996                97076689.555700     
JORDAN              1995                94065383.046400     
JORDAN              1994                97351374.425000     
JORDAN              1993                96936015.353300     
JORDAN              1992                96014307.477400     
KENYA               1998                49061785.904200     
KENYA               1997                86416365.969900     
KENYA               1996                86434066.149300     
KENYA               1995                87314626.318200     
KENYA               1994                88312133.336200     
KENYA               1993                88077973.633700     
KENYA               1992                84272286.190300     
MOROCCO             1998                52778315.150500     
MOROCCO             1997                86510262.196100     
MOROCCO             1996                91352109.695800     
MOROCCO             1995                84576616.771400     
MOROCCO             1994                86495012.280200     
MOROCCO             1993                84306809.202500     
MOROCCO             1992                86002696.271000     
MOZAMBIQUE          1998                53553399.765500     
MOZAMBIQUE          1997                91403025.166600     
MOZAMBIQUE          1996                90466253.871200     
MOZAMBIQUE          1995                91175734.908000     
MOZAMBIQUE          1994                91543791.445800     
MOZAMBIQUE          1993                95202482.103900     
MOZAMBIQUE          1992                92480764.554400     
PERU                1998                57992726.937700     
PERU                1997                100431465.170200    
PERU                1996                99746826.253900     
PERU                1995                99463792.171800     
PERU                1994                100108034.885800    
PERU                1993                97322918.093000     
PERU                1992                95627489.444000     
ROMANIA             1998                56041872.484000     
ROMANIA             1997                94375195.773600     
ROMANIA             1996                95910823.710100     
ROMANIA             1995                91143949.010500     
ROMANIA             1994                94112462.776000     
ROMANIA             1993                90325388.485400     
ROMANIA             1992                94263589.424000     
RUSSIA              1998                55626008.902900     
RUSSIA              1997                92065957.817600     
RUSSIA              1996                96087711.646100     
RUSSIA              1995                95896377.017900     
RUSSIA              1994                93944231.948000     
RUSSIA              1993                95702346.241600     
RUSSIA              1992                93540760.589200     
SAUDI ARABIA        1998                55082475.208700     
SAUDI ARABIA        1997                94788550.371100     
SAUDI ARABIA        1996                95367838.970000     
SAUDI ARABIA        1995                98228499.844000     
SAUDI ARABIA        1994                100209323.261100    
SAUDI ARABIA        1993                99078860.760900     
SAUDI ARABIA        1992                94543127.201000     
UNITED KINGDOM      1998                55880598.487400     
UNITED KINGDOM      1997                95003231.505500     
UNITED KINGDOM      1996                97142884.514300     
UNITED KINGDOM      1995                95410522.833200     
UNITED KINGDOM      1994                92937084.848800     
UNITED KINGDOM      1993                94488045.429000     
UNITED KINGDOM      1992                97244198.445200     
UNITED STATES       1998                57397893.899500     
UNITED STATES       1997                98129801.405800     
UNITED STATES       1996                97623118.956000     
UNITED STATES       1995                98943652.405400     
UNITED STATES       1994                100375910.806300    
UNITED STATES       1993                96143187.431400     
UNITED STATES       1992                98331771.361900     
VIETNAM             1998                52318461.578700     
VIETNAM             1997                87129448.740100     
VIETNAM             1996                87249726.485800     
VIETNAM             1995                91650989.847500     
VIETNAM             1994                89214326.134300     
VIETNAM             1993                87186447.039200     
VIETNAM             1992                87335126.516300     
